movie_name;popularity_increase 
The Irishman (2019)            ;+4
The Knight Before Christmas (2019)            ;+4
A Beautiful Day in the Neighborhood (2019)            ;+6
The Knight Before Christmas (2019)            ;+4
The Irishman (2019)            ;+4
A Beautiful Day in the Neighborhood (2019)            ;+6
It Chapter Two (2019)            ;+1
Star Wars: Episode IX - The Rise of Skywalker (2019)            ;+4
Frozen II (2019)            ;+2
Honey Boy (2019)            ;+21
It Chapter Two (2019)            ;+1
Star Wars: Episode IX - The Rise of Skywalker (2019)            ;+4
Frozen II (2019)            ;+2
Honey Boy (2019)            ;+21
Gisaengchung (2019)            ;+3
Knives Out (2019)            ;+9
1917 (2019)            ;+110
Gisaengchung (2019)            ;+3
Knives Out (2019)            ;+9
1917 (2019)            ;+110
Ready or Not (2019)            ;+15
Once Upon a Time... in Hollywood (2019)            ;+6
21 Bridges (2019)            ;+13
Ready or Not (2019)            ;+15
21 Bridges (2019)            ;+13
Once Upon a Time... in Hollywood (2019)            ;+6
Hustlers (2019)            ;+34
Frozen (2013)            ;+11
Hustlers (2019)            ;+34
Frozen (2013)            ;+11
Rambo: Last Blood (2019)            ;+24
The Lion King (2019)            ;+2
Richard Jewell (2019)            ;+10
Us (2019)            ;+137
Rambo: Last Blood (2019)            ;+24
The Lion King (2019)            ;+2
Richard Jewell (2019)            ;+10
Us (2019)            ;+137
Little Women (2019)            ;+42
Noelle (2019)            ;+4
Little Women (2019)            ;+42
Star Wars: Episode VIII - The Last Jedi (2017)            ;+34
Noelle (2019)            ;+4
Jumanji: The Next Level (2019)            ;+2
Queen & Slim (2019)            ;+44
Star Wars: Episode VIII - The Last Jedi (2017)            ;+34
The Report (2019)            ;+119
Jumanji: The Next Level (2019)            ;+2
Queen & Slim (2019)            ;+44
The Report (2019)            ;+119
Captain Marvel (2019)            ;+4
Marriage Story (2019)            ;+10
No Time to Die (2020)            ;+17
Home Alone (1990)            ;+43
Marriage Story (2019)            ;+10
Captain Marvel (2019)            ;+4
No Time to Die (2020)            ;+17
Home Alone (1990)            ;+43
The Godfather (1972)            ;+35
The Courier (2019)            ;+463
Dark Waters (2019)            ;+4
The Godfather (1972)            ;+35
The Courier (2019)            ;+463
Dark Waters (2019)            ;+4
The Golden Compass (2007)            ;+24
Goodfellas (1990)            ;+27
It (2017)            ;+20
The Golden Compass (2007)            ;+24
Goodfellas (1990)            ;+27
It (2017)            ;+20
Black Widow (2020)            ;+3
Downton Abbey (2019)            ;+88
Black Widow (2020)            ;+3
Downton Abbey (2019)            ;+88
Brittany Runs a Marathon (2019)            ;+42
National Lampoon's Christmas Vacation (1989)            ;+205
Brittany Runs a Marathon (2019)            ;+42
National Lampoon's Christmas Vacation (1989)            ;+205
Bombshell (2019)            ;+55
Bombshell (2019)            ;+55
Harry Potter and the Sorcerer's Stone (2001)            ;+33
Home Alone 2: Lost in New York (1992)            ;+103
The Grinch (2018)            ;+71
Harry Potter and the Sorcerer's Stone (2001)            ;+33
Home Alone 2: Lost in New York (1992)            ;+103
The Grinch (2018)            ;+71
Abominable (2019)            ;+462
Love Actually (2003)            ;+34
Love Actually (2003)            ;+34
Abominable (2019)            ;+462
